Model,Library,Format,Training Time (s),Memory Usage (MB),Validation Accuracy
GCN,PyG,COO,4.038856029510498,9.3359375,0.791
GCN,PyG,CSR,5.85713267326355,-0.28125,0.772
GCN,PyG,CSC,5.763552904129028,1.06640625,0.781
GCN,DGL,COO,4.07281494140625,3.34765625,0.8566176470588235
GCN,DGL,CSR,4.01388144493103,0.04296875,0.875
GCN,DGL,CSC,4.083040237426758,0.04296875,0.875
GraphSAGE,PyG,COO,8.787447929382324,85.52734375,0.769
GraphSAGE,PyG,CSR,8.856199264526367,-86.8671875,0.76
GraphSAGE,PyG,CSC,8.840691566467285,-0.734375,0.768
GraphSAGE,DGL,COO,8.830853700637817,-13.28515625,0.875
GraphSAGE,DGL,CSR,9.489020347595215,-15.953125,0.8566176470588235
GraphSAGE,DGL,CSC,9.686293601989746,-2.6953125,0.8897058823529411
GAT,PyG,COO,5.619063138961792,5.8359375,0.71
GAT,PyG,CSR,5.478921890258789,0.32421875,0.737
GAT,PyG,CSC,5.790127754211426,0.70703125,0.716
GAT,DGL,COO,6.058650970458984,0.5546875,0.8419117647058824
GAT,DGL,CSR,5.983320474624634,4.33203125,0.8419117647058824
GAT,DGL,CSC,5.840075492858887,1.3984375,0.8823529411764706
GCN,PyG,COO,CiteSeer,7.523216009140015,8.76171875,0.649
GCN,PyG,CSR,CiteSeer,9.542054414749146,-45.6796875,0.64
GCN,PyG,CSC,CiteSeer,9.522209405899048,1.25390625,0.628
GCN,DGL,COO,CiteSeer,7.551757097244263,3.94140625,0.718562874251497
GCN,PyG,COO,CiteSeer,7.698241710662842,11.02734375,0.637
GCN,PyG,CSR,CiteSeer,9.529070615768433,2.265625,0.625
GCN,PyG,CSC,CiteSeer,9.688589096069336,2.05859375,0.627
GCN,PyG,COO,CiteSeer,7.603415489196777,11.01953125,0.639
GCN,PyG,CSR,CiteSeer,9.5919930934906,2.21875,0.603
GCN,PyG,CSC,CiteSeer,9.427721500396729,2.03515625,0.64
GCN,DGL,COO,CiteSeer,7.645310401916504,1.26171875,0.7312312312312312
GCN,PyG,COO,CiteSeer,7.547837972640991,11.00390625,0.638
GCN,PyG,CSR,CiteSeer,9.565966844558716,2.2578125,0.64
GCN,PyG,CSC,CiteSeer,9.45145058631897,2.05078125,0.595
GCN,DGL,COO,CiteSeer,7.518993616104126,1.26171875,0.7267267267267268
GCN,PyG,COO,CiteSeer,7.596437215805054,11.03125,0.639
GCN,PyG,CSR,CiteSeer,9.504597663879395,2.20703125,0.624
GCN,PyG,CSC,CiteSeer,9.872438907623291,2.0390625,0.605
GCN,DGL,COO,CiteSeer,7.585742712020874,1.26171875,0.7342342342342343
GCN,DGL,CSR,CiteSeer,7.631541967391968,0.015625,0.7286585365853658
GCN,DGL,CSC,CiteSeer,7.769991397857666,0.41015625,0.7237237237237237
GraphSAGE,PyG,COO,CiteSeer,26.671927213668823,-44.32421875,0.557
GraphSAGE,PyG,CSR,CiteSeer,25.72099471092224,6.65234375,0.592
GraphSAGE,PyG,CSC,CiteSeer,25.622018337249756,-226.53515625,0.601
GraphSAGE,DGL,COO,CiteSeer,25.322997570037842,-264.60546875,0.7492492492492493
GCN,PyG,COO,CiteSeer,7.622712850570679,10.9140625,0.624
GCN,PyG,CSR,CiteSeer,9.530041694641113,2.3125,0.632
GCN,PyG,CSC,CiteSeer,9.614651441574097,2.0625,0.626
GCN,DGL,COO,CiteSeer,7.571252346038818,1.26171875,0.7282282282282282
GCN,DGL,CSR,CiteSeer,7.713870286941528,0.046875,0.7301829268292683
GCN,DGL,CSC,CiteSeer,7.7854883670806885,0.41015625,0.7192192192192193
